,Date,Open,High,Low,Close,Volume,% Change,-% Days,+% Days,RSI,Low_14,High-14,K %,R %,MACD,MACD_EMA,Price ROC,Prediction
0,1980-01-02,107.940002,108.43,105.290001,105.760002,40610000.0,,,,,,,,,0.0,0.0,,
1,1980-01-03,105.760002,106.08000200000001,103.260002,105.220001,50480000.0,-0.5400010000000037,0.5400010000000037,0.0,0.0,,,,,0.012115407051283,0.0067307816951572225,,-1.0
2,1980-01-04,105.220001,107.08000200000001,105.089996,106.519997,39130000.0,1.2999960000000073,0.0,1.2999960000000073,73.52931583249787,,,,,-0.024875364840312386,-0.006222557048887698,,1.0
3,1980-01-07,106.519997,107.800003,105.800003,106.809998,44500000.0,0.2900009999999895,0.0,0.2900009999999895,77.74194411938822,,,,,-0.05156023666303611,-0.021580849601105994,,1.0
4,1980-01-08,106.809998,109.290001,106.290001,108.949997,53390000.0,2.139999000000003,0.0,2.139999000000003,90.54872970648285,,,,,-0.1501304093571747,-0.05982143734386798,,1.0
5,1980-01-09,108.949997,111.089996,108.410004,109.050003,65260000.0,0.10000600000000759,0.0,0.10000600000000759,90.83313275374512,,,,,-0.21083881337594335,-0.10075554265224125,,1.0
6,1980-01-10,109.050003,110.860001,108.470001,109.889999,55980000.0,0.8399959999999993,0.0,0.8399959999999993,92.9029093875424,,,,,-0.2841933134209995,-0.1471787487593961,,1.0
7,1980-01-11,109.889999,111.160004,108.889999,109.91999799999999,52890000.0,0.02999899999998945,0.0,0.02999899999998945,92.96833356411172,,,,,-0.3302370535026853,-0.19117110180139218,,1.0
8,1980-01-14,109.91999799999999,111.440002,109.339996,110.379997,52930000.0,0.4599990000000105,0.0,0.4599990000000105,93.95437884780932,,,,,-0.3799190048626855,-0.23477280379172663,,1.0
9,1980-01-15,110.379997,111.93,109.449997,111.139999,52320000.0,0.7600020000000001,0.0,0.7600020000000001,95.22963160877796,,,,,-0.44878186240492823,-0.2827232561298871,0.05086986477175004,1.0
10,1980-01-16,111.139999,112.900002,110.379997,111.050003,67700000.0,-0.0899959999999993,0.0899959999999993,0.0,92.56188896322378,,,,,-0.4874548706998638,-0.32751736357443967,0.05540773564524115,-1.0
11,1980-01-17,111.050003,112.010002,109.809998,110.699997,54170000.0,-0.3500060000000076,0.3500060000000076,0.0,82.22529501100149,,,,,-0.4899500895876372,-0.3624011009565756,0.039241458108565164,-1.0
12,1980-01-18,110.699997,111.739998,109.879997,111.07,47150000.0,0.370002999999997,0.0,0.370002999999997,84.35620465993861,,,,,-0.5062020148431827,-0.39283437041599034,0.03988392547296926,1.0
13,1980-01-21,111.07,112.900002,110.660004,112.099998,48040000.0,1.0299980000000062,0.0,1.0299980000000062,88.70542616079602,103.260002,112.900002,91.70120331950207,-8.298796680497938,-0.5714870300502639,-0.43020864010704296,0.028912355087077346,1.0
14,1980-01-22,112.099998,113.099998,110.91999799999999,111.510002,50620000.0,-0.5899959999999993,0.5899959999999993,0.0,74.93587521272389,103.260002,113.099998,83.84149749654371,-16.158502503456297,-0.578418790480896,-0.46093163962866734,0.022558449631587818,-1.0
15,1980-01-23,111.510002,113.93,110.93,113.440002,50730000.0,1.9300000000000068,0.0,1.9300000000000068,84.19567626975481,105.089996,113.93,94.45703870722231,-5.54296129277769,-0.6934623353216836,-0.508784723329287,0.03230505989903598,1.0
